Saison,Journée,Equipe domicile,Equipe extérieure,Date,Heure,Score domicile,Score extérieur
2025-2026,1,Nice,Toulouse,2025-08-16,21:05,0,1
2025-2026,2,Toulouse,Brest,2025-08-24,17:15,2,0
2025-2026,3,Toulouse,Paris SG,2025-08-30,21:05,3,6
2025-2026,4,Lille,Toulouse,2025-09-14,15:00,2,1
2025-2026,5,Auxerre,Toulouse,2025-09-21,15:00,1,0
2025-2026,6,Toulouse,Nantes,2025-09-28,15:00,2,2
2025-2026,7,Lyon,Toulouse,2025-10-05,15:00,1,2
2025-2026,8,Toulouse,Metz,2025-10-19,15:00,4,0
2025-2026,9,Monaco,Toulouse,2025-10-26,15:00,1,0
2025-2026,10,Toulouse,Rennes,2025-10-29,15:00,2,2
2025-2026,11,Toulouse,Le Havre,2025-11-02,15:00,0,0
2025-2026,12,Lorient,Toulouse,2025-11-09,15:00,1,1
2025-2026,13,Toulouse,Angers,2025-11-23,15:00,0,1
2025-2026,14,Marseille,Toulouse,2025-11-29,15:00,2,2
2025-2026,15,Toulouse,Strasbourg,2025-12-07,15:00,1,0
2025-2026,16,Paris FC,Toulouse,2025-12-14,15:00,0,3
2025-2026,17,Toulouse,Lens,2026-01-04,15:00,0,3
2025-2026,18,Toulouse,Nice,2026-01-18,15:00,5,1
2025-2026,19,Brest,Toulouse,2026-01-25,17:15,,
2025-2026,20,Toulouse,Auxerre,2026-02-01,17:15,,
2025-2026,21,Angers,Toulouse,2026-02-08,17:15,,
2025-2026,22,Le Havre,Toulouse,2026-02-15,15:00,,
2025-2026,23,Toulouse,Paris FC,2026-02-22,15:00,,
2025-2026,24,Rennes,Toulouse,2026-03-01,15:00,,
2025-2026,25,Toulouse,Marseille,2026-03-08,15:00,,
2025-2026,26,Metz,Toulouse,2026-03-15,15:00,,
2025-2026,27,Toulouse,Lorient,2026-03-22,15:00,,
2025-2026,28,Paris SG,Toulouse,2026-04-05,15:00,,
2025-2026,29,Toulouse,Lille,2026-04-12,15:00,,
2025-2026,30,Lens,Toulouse,2026-04-19,15:00,,
2025-2026,31,Toulouse,Monaco,2026-04-26,15:00,,
2025-2026,32,Strasbourg,Toulouse,2026-05-03,15:00,,
2025-2026,33,Toulouse,Lyon,2026-05-09,21:00,,
2025-2026,34,Nantes,Toulouse,2026-05-16,21:00,,